COUNTRY,INDUSTRY,CN1_26,CN1_27,CN2_26,CN2_27,USA_26,USA_27,CHN_26,CHN_27
BRA,58T60,0.381476753,0.240301972,0.312961051,0.052939925,0.003369374,0.003896407,0.694437804,0.293241897
BRA,62T63,0.405453155,0.270189464,0.332631135,0.059524313,0.886935096,0.272651988,0.73808429,0.329713777
BRA,64T66,0.388185046,0.459422959,0.318464491,0.101213555,0.20779332,0.194384339,0.706649537,0.560636514
BRA,69T82,3.107140421,2.645596034,2.549077822,0.582840223,16.62786304,6.796824322,5.656218243,3.228436257
BRA,86T88,0.004506885,0.0083394,0.00369742,0.001837218,0.00418203,0.004674577,0.008204305,0.010176618
BRA,90T96,0.004798694,0.008434811,0.003936818,0.001858238,0.004874089,0.004214428,0.008735512,0.010293049
BRA,97T98,0,0,0,0,0,0,0,0
BRN,9,4.58E-05,0.000200684,3.76E-05,4.42E-05,0,0,0.0000834,0.000244884
BRN,16,7.63E-05,0.000157904,6.26E-05,3.48E-05,0,0,0.0001389,0.000192704
BRN,19,0,0,0,0,0,0,0,0
BRN,22,1.14E-07,1.96E-07,9.39E-08,4.31E-08,5.67E-11,4.99E-11,2.08E-07,2.39E-07
BRN,23,0.001593839,0.001509889,0.001307576,0.000332637,4.57E-06,9.26E-06,0.002901415,0.001842526
BRN,24,3.72E-05,0.000135545,3.05E-05,2.99E-05,8.72E-08,2.60E-07,0.0000677,0.000165445
BRN,25,3.76E-06,8.13E-06,3.09E-06,1.79E-06,6.04E-07,9.11E-07,0.00000685,0.00000992
BRN,26,2.37E-10,1.13E-09,1.94E-10,2.48E-10,1.55E-09,1.36E-09,4.31E-10,1.38E-09
BRN,27,4.08E-05,0.000161984,3.35E-05,3.57E-05,6.54E-06,2.39E-05,0.0000743,0.000197684
BRN,28,5.88E-09,1.10E-08,4.82E-09,2.42E-09,2.33E-07,1.94E-06,1.07E-08,1.34E-08
BRN,29,2.01E-08,9.57E-08,1.65E-08,2.11E-08,1.32E-07,1.16E-07,3.66E-08,1.17E-07
BRN,30,4.78E-06,7.81E-06,3.93E-06,1.72E-06,1.37E-06,7.62E-07,0.00000871,0.00000953
BRN,61,0.001733242,0.001323214,0.00142194,0.000291512,2.68E-05,8.53E-06,0.003155182,0.001614726
BRN,68,0.000348696,0.000378868,0.000286068,8.35E-05,0.000192007,2.42E-05,0.000634764,0.000462368
BRN,84,0,0,0,0,0,0,0,0
BRN,85,8.42E-08,1.38E-07,6.91E-08,3.03E-08,2.41E-08,1.34E-08,1.53E-07,1.68E-07
BRN,01T03,6.51E-06,1.34E-05,5.34E-06,2.96E-06,1.61E-06,1.49E-06,0.00001185,0.00001636
BRN,05T06,0.012220376,0.05352815,0.010025517,0.011792563,0,0,0.022245893,0.065320713
BRN,07T08,0.000300542,0.002273827,0.000246562,0.000500937,9.52E-06,3.24E-05,0.000547104,0.002774764
BRN,10T12,7.88E-05,0.000131458,6.46E-05,2.90E-05,2.24E-05,1.30E-05,0.0001434,0.000160458
BRN,13T15,0.000100655,4.44E-05,8.26E-05,9.77E-06,0.000570927,0.000288846,0.000183255,0.00005417
BRN,17T18,0.000343788,0.000517992,0.000282041,0.000114117,5.93E-06,2.01E-06,0.000625829,0.000632109
BRN,20T21,0.005201306,0.009391404,0.004267117,0.002068981,0.000259433,0.000210524,0.009468423,0.011460385
BRN,31T33,2.96E-05,4.44E-05,2.43E-05,9.78E-06,7.12E-07,3.98E-07,0.0000539,0.00005418
BRN,35T39,0.00014958,4.42E-05,0.000122715,9.73E-06,8.10E-05,4.74E-05,0.000272295,0.00005393
BRN,41T43,0.000429674,0.00039385,0.000352502,8.68E-05,2.46E-05,1.22E-05,0.000782176,0.00048065
BRN,45T47,0.030160414,0.02210351,0.024743407,0.004869532,0.003302083,0.003121864,0.054903821,0.026973042
BRN,49T53,0.441433643,0.415241712,0.362149294,0.091480169,0.008107279,0.004584608,0.803582937,0.506721881
BRN,55T56,1.45E-05,2.18E-05,1.19E-05,4.81E-06,4.61E-07,2.45E-07,0.0000264,0.00002661
BRN,58T60,0,0,0,0,0,3.24E-10,0,0
BRN,62T63,0.007795226,0.005426378,0.006395153,0.001195463,0.000957649,0.000315427,0.014190379,0.006621841
BRN,64T66,0.006609496,0.007918919,0.005422388,0.001744584,0.001265456,0.001970137,0.012031884,0.009663503
BRN,69T82,0.078709018,0.060548163,0.064572367,0.013339113,0.03620021,0.014978418,0.143281385,0.073887276
BRN,86T88,4.24E-09,6.92E-09,3.48E-09,1.52E-09,1.22E-09,6.81E-10,7.72E-09,8.44E-09
BRN,90T96,3.41E-05,5.59E-05,2.80E-05,1.23E-05,1.09E-06,5.74E-07,0.0000621,0.0000682
BRN,97T98,0,0,0,0,0,0,0,0
CAN,9,0.023074477,0.025472518,0.018930151,0.005611744,0.124501298,0.15299607,0.042004628,0.031084262
CAN,16,14.884506,30.55101172,12.21115206,6.730565909,5.535537481,11.88008398,27.09565806,37.28157763
CAN,19,0.669057842,1.139968423,0.548890709,0.251141687,3.016607346,14.78826426,1.217948551,1.39111011
CAN,22,6.56349471,11.03875122,5.384648434,2.43190122,27.34806064,34.85186934,11.94814314,13.47065244
CAN,23,1.128827053,1.530693346,0.926082383,0.337220664,2.889485781,9.627147641,2.054909436,1.86791401
CAN,24,239.3386053,1424.121274,196.3518374,313.7422152,542.0871788,1434.786544,435.6904427,1737.863489
